Beds,Bath,Sqft,Price,Address,Province,Region
3.0,2.0,,119900.0,5 Heather Lane ,NB,Atlantic region
,1.0,,22500.0,6617 Route  11 ,NB,Atlantic region
4.0,2.0,,189900.0,114 Pleasant Street ,NB,Atlantic region
3.0,2.0,,199900.0,15 MacDonald Road ,NB,Atlantic region
5.0,4.0,,649000.0,27 Shipyard Road ,NB,Atlantic region
3.0,1.0,,49900.0,122 MCGEE Street ,NB,Atlantic region
3.0,1.0,,325000.0,115 French Village Road ,NB,Atlantic region
4.0,3.0,,349900.0,31 Centennial Road ,NB,Atlantic region
,1.0,370.0,139900.0,1438 Route 530 ,NB,Atlantic region
2.0,3.0,,164900.0,1091 Westbrook ,NB,Atlantic region
5.0,2.0,,375000.0,7976 Route 17 ,NB,Atlantic region
3.0,2.0,,299900.0,17 Country Crescent ,NB,Atlantic region
5.0,2.0,,729000.0,38 Thrope Road ,NB,Atlantic region
5.0,2.0,,139000.0,2 Gerrard ,NB,Atlantic region
1.0,,,49900.0,Lot & Camp Kilmarnock Road ,NB,Atlantic region
3.0,2.0,,149000.0,132 School Street ,NB,Atlantic region
2.0,2.0,,149900.0,2319 ROUTE 102 ,NB,Atlantic region
3.0,1.0,,165000.0,503 Route 322 ,NB,Atlantic region
2.0,1.0,,149900.0,933 Route 111 ,NB,Atlantic region
5.0,5.0,,249900.0,1321 Tobique Road ,NB,Atlantic region
3.0,2.0,,129900.0,467 Golf ,NB,Atlantic region
5.0,2.0,,119900.0,38 Church Street ,NB,Atlantic region
4.0,2.0,,349000.0,647 Breau ,NB,Atlantic region
3.0,1.0,,64900.0,1443 Porter Cove Road ,NB,Atlantic region
6.0,1.0,,124900.0,1166 Route 3 ,NB,Atlantic region
1.0,1.0,,30000.0,9 HUNTS Lane ,NB,Atlantic region
4.0,4.0,,319900.0,118 Knorr Road ,NB,Atlantic region
2.0,1.0,,188500.0,- Williston Beach Road ,NB,Atlantic region
2.0,2.0,,139900.0,10 Cedar Street ,NB,Atlantic region
2.0,2.0,,159900.0,52 Gordon Shore Road ,NB,Atlantic region
5.0,3.0,,265000.0,143 des Montagnes Street ,NB,Atlantic region
3.0,2.0,,425000.0,128 Country Wood Lane ,NB,Atlantic region
4.0,2.0,,169000.0,190 Durepos Street ,NB,Atlantic region
3.0,2.0,,195000.0,2250 Sormany ,NB,Atlantic region
3.0,2.0,,259000.0,22 Glen Drive ,NB,Atlantic region
3.0,1.0,,474900.0,49 Kingshurst Lane ,NB,Atlantic region
2.0,1.0,,64900.0,868 Route 850 ,NB,Atlantic region
4.0,2.0,,179000.0,4 Glenburn Court ,NB,Atlantic region
2.0,1.0,,234900.0,671 McLeod Avenue ,NB,Atlantic region
4.0,2.0,,559000.0,11 Lydia's Ledge Lane ,NB,Atlantic region
4.0,1.0,,249900.0,4194 Route 640 ,NB,Atlantic region
4.0,2.0,,349900.0,51 Birmingham Court ,NB,Atlantic region
4.0,2.0,,259900.0,6 Ray Street ,NB,Atlantic region
3.0,1.0,,109000.0,5 Regent Street ,NB,Atlantic region
3.0,2.0,,259900.0,169 Coventry Crescent ,NB,Atlantic region
3.0,2.0,,279000.0,2 Robin Drive ,NB,Atlantic region
2.0,2.0,,74900.0,3980 Route 104 ,NB,Atlantic region
3.0,2.0,,186900.0,35 Elm Street ,NB,Atlantic region
3.0,1.0,,79900.0,7691 Route 8 ,NB,Atlantic region
3.0,1.0,,219000.0,99 CNR Road ,NB,Atlantic region
2.0,1.0,,269000.0,507 Platin-Des-Albert Road ,NB,Atlantic region
3.0,1.0,,139000.0,51 Campbell Hill Road ,NB,Atlantic region
2.0,1.0,,139900.0,132 Court Street ,NB,Atlantic region
2.0,1.0,,109900.0,337 Foster Road ,NB,Atlantic region
5.0,2.0,,139900.0,120 Route 6894,NB,Atlantic region
2.0,2.0,,159900.0,266 Lake N Road ,NB,Atlantic region
3.0,1.0,,69900.0,482 Main Street ,NB,Atlantic region
2.0,2.0,,359000.0,Lot 13 Sea Street ,NB,Atlantic region
4.0,2.0,,349000.0,1048 North Road Welshpool ,NB,Atlantic region
5.0,3.0,,799000.0,233 Bunker Hill Road ,NB,Atlantic region
4.0,3.0,,474900.0,140 Talisman Crescent ,NB,Atlantic region
,1.0,,40000.0,269 Summerfield Road ,NB,Atlantic region
3.0,3.0,,219900.0,1105 Mercury ,NB,Atlantic region
2.0,1.0,,89900.0,37218 Route 10 ,NB,Atlantic region
2.0,,,45000.0,- Odell Road ,NB,Atlantic region
2.0,1.0,,270000.0,25 Harding Street ,NB,Atlantic region
3.0,2.0,,169900.0,335 French Village Road ,NB,Atlantic region
2.0,1.0,,599900.0,242 Fiander Road ,NB,Atlantic region
4.0,4.0,,499000.0,420 Route 390 ,NB,Atlantic region
6.0,3.0,,199000.0,22 des Robins Est Street ,NB,Atlantic region
4.0,2.0,,179000.0,24 26 Westmorland Road ,NB,Atlantic region
3.0,2.0,,279900.0,16 Stonehurst Avenue ,NB,Atlantic region
6.0,6.0,,249000.0,110 Maple Street ,NB,Atlantic region
2.0,1.0,,69900.0,Camp A & Lot Foster Road ,NB,Atlantic region
5.0,5.0,,148000.0,382 St Pierre Ouest Boulevard ,NB,Atlantic region
2.0,1.0,,440000.0,65 Wells Brook ,NB,Atlantic region
3.0,1.0,,185000.0,365 Sheriff Street ,NB,Atlantic region
2.0,1.0,,39000.0,21 Robertson Brook Road ,NB,Atlantic region
3.0,1.0,,124900.0,39 Warren Avenue ,NB,Atlantic region
3.0,2.0,,379900.0,9 Amanda Street ,NB,Atlantic region
4.0,1.0,,219000.0,6 Bushville Drive ,NB,Atlantic region
3.0,2.0,,199900.0,18 & 20 Burns Lane ,NB,Atlantic region
3.0,1.0,,285000.0,23 Moulin ,NB,Atlantic region
5.0,2.0,,415000.0,208 Olivier Boucher Road ,NB,Atlantic region
2.0,1.0,,249900.0,7616 Route 112 ,NB,Atlantic region
4.0,2.0,,395000.0,25 Paquin Street ,NB,Atlantic region
3.0,1.0,,179900.0,885 Route 102 ,NB,Atlantic region
3.0,2.0,,499000.0,3455 Woodstock Road ,NB,Atlantic region
4.0,2.0,,129900.0,130 Larley Road ,NB,Atlantic region
16.0,8.0,,1965000.0,122 Route 4104,NB,Atlantic region
2.0,2.0,,129900.0,20 Chemin Camp Ectus ,NB,Atlantic region
3.0,1.0,,260000.0,180 Route 242,NB,Atlantic region
4.0,2.0,,234000.0,4854 Route 108 ,NB,Atlantic region
2.0,2.0,,359000.0,Lot 14 Sea Street ,NB,Atlantic region
3.0,2.0,,339900.0,4 Ayerscliffe Court ,NB,Atlantic region
4.0,2.0,,324900.0,31 Thompson Road ,NB,Atlantic region
5.0,3.0,,210000.0,133 Ridgeway Street ,NB,Atlantic region
,1.0,,349900.0,2271 Route 127 ,NB,Atlantic region
4.0,2.0,,196660.0,168 Gillespie Road ,NB,Atlantic region
2.0,2.0,,109900.0,59 Bayberry Street ,NB,Atlantic region
3.0,3.0,,329900.0,123 Eastwood Drive ,NB,Atlantic region
3.0,,,85500.0,35 Duffy Road ,NB,Atlantic region
5.0,2.0,,298400.0,711 Victoria Street ,NB,Atlantic region
1.0,,,69900.0,292 Nelson Street ,NB,Atlantic region
5.0,2.0,,369000.0,78 Gérard Street ,NB,Atlantic region
5.0,2.0,,195000.0,219 Victoria Road ,NB,Atlantic region
5.0,2.0,,399000.0,337 Terrace Street ,NB,Atlantic region
6.0,3.0,,249000.0,183 Forest Hill Road ,NB,Atlantic region
3.0,4.0,,399900.0,62 Wilfred Avenue ,NB,Atlantic region
3.0,1.0,,172000.0,2037 Chatillon Street ,NB,Atlantic region
,,,49900.0,1321 Rue Principal ,NB,Atlantic region
4.0,1.0,,79900.0,1276 Route 107 ,NB,Atlantic region
4.0,3.0,,489000.0,122 Riverside Drive ,NB,Atlantic region
4.0,2.0,,114500.0,406 Main Street ,NB,Atlantic region
4.0,3.0,,189000.0,1429 des Boudreau Street ,NB,Atlantic region
