Beds,Bath,Sqft,Price,Address,Province,Region,Latitude,Longitude,Location
3.0,2.0,1855.0,995000.0,1460 highway332 ,NS,Atlantic region,,,NaN
2.0,2.0,1309.0,396650.0,site 6 6004 trunk 1 highway ,NS,Atlantic region,,,NaN
2.0,1.0,996.0,279000.0,258 old north range road ,NS,Atlantic region,,,NaN
3.0,1.0,896.0,59900.0,16 brentwood estates ,NS,Atlantic region,,,NaN
3.0,2.0,2710.0,649000.0,41 back rd|port hood island ,NS,Atlantic region,,,NaN
3.0,1.0,1565.0,214900.0,331 highway 828,NS,Atlantic region,,,NaN
3.0,2.0,1544.0,464900.0,lot 3 winslow drive ,NS,Atlantic region,,,NaN
3.0,3.0,2494.0,649900.0,49 cleversey ridge park ,NS,Atlantic region,,,NaN
2.0,1.0,948.0,314900.0,12-60 meek arm trail ,NS,Atlantic region,,,NaN
3.0,3.0,1792.0,499900.0,lot 26 205 curtis drive ,NS,Atlantic region,,,NaN
3.0,3.0,2263.0,544900.0,lot 216 182 thicket drive ,NS,Atlantic region,,,NaN
4.0,2.0,1589.0,244900.0,224 highway 12087,NS,Atlantic region,,,NaN
3.0,2.0,1655.0,484900.0,lot 19 242 curtis drive ,NS,Atlantic region,,,NaN
3.0,3.0,1792.0,499900.0,lot 29 187 curtis drive ,NS,Atlantic region,,,NaN
3.0,2.0,165.0,484900.0,lot 12 204 curtis drive ,NS,Atlantic region,,,NaN
3.0,3.0,4500.0,579000.0,204 highway 1|dayton ,NS,Atlantic region,,,NaN
2.0,1.0,832.0,334900.0,12-66 meek arm way ,NS,Atlantic region,,,NaN
3.0,3.0,1792.0,499900.0,lot 23 223 curtis drive ,NS,Atlantic region,,,NaN
4.0,2.0,1968.0,189900.0,206 highway 1461,NS,Atlantic region,,,NaN
3.0,3.0,1792.0,499900.0,lot 21 235 curtis drive ,NS,Atlantic region,,,NaN
3.0,3.0,1792.0,499900.0,lot 25 211 curtis drive ,NS,Atlantic region,,,NaN
3.0,2.0,1655.0,484900.0,lot 14 212 curtis drive ,NS,Atlantic region,,,NaN
3.0,3.0,1792.0,499900.0,lot 11 188 curtis drive ,NS,Atlantic region,,,NaN
4.0,3.0,2460.0,650000.0,86 sunnyside lane ,PE,Atlantic region,,,NaN
4.0,2.0,2072.0,530000.0,"sarah court, civic 24-26 ",PE,Atlantic region,,,NaN
3.0,2.0,1941.0,635000.0,112 millpond lane ,PE,Atlantic region,,,NaN
3.0,2.0,1284.0,329000.0,176 hickey's wharf road ,PE,Atlantic region,,,NaN
3.0,1.0,921.0,189000.0,1845 colville road - route 9 ,PE,Atlantic region,,,NaN
3.0,1.0,975.0,225000.0,2742 beaton road rte 138 ,PE,Atlantic region,,,NaN
4.0,2.0,1534.0,447000.0,no address available ,PE,Atlantic region,,,NaN
3.0,2.0,2300.0,599900.0,28 keaton drive ,PE,Atlantic region,,,NaN
2.0,1.0,936.0,259000.0,7 macarthut drive ,PE,Atlantic region,,,NaN
